playerid,Name,z_runs,z_hr,z_rbi,z_sb,z_k,z_avg,z_ops,final_z_sum
13613,Ketel Marte,-0.9754245420226082,-1.2282527403578334,-1.157978840625169,-0.5051151053509215,-1.221544296512718,0.022835937752285707,-0.4878172929976407,-3.1102082870891685
13621,Jeimer Candelario,-0.2322800432120225,-0.5694463194041998,-0.24411412702843596,-0.7674666848153588,0.19171362935355976,0.6023469329482443,0.33696052202222726,-1.0657133488431054
13624,Corey Seager,0.9853722160986248,1.377834923023729,0.9445111798961137,-0.6184504715753645,-0.641093066276104,0.37809929047359303,0.7343086092030969,4.4427688133958965
13757,Chris Taylor,0.29507811037269804,-0.2624618413288682,0.06938886120920838,0.22665377909564963,0.8903145615628169,-0.0892783623392461,0.12255000416584758,-0.5283840103875275
13769,Adalberto Mondesi,0.3045904924144996,-0.6851274558485357,-0.7554971828373,5.548050984456621,1.4723738319158735,-0.13550745982350365,-0.7687937664497054,2.0353417799962026
14103,Rio Ruiz,-0.7600704287635671,0.014786923507522174,0.3358619215665314,-0.5673504719170962,-0.17714951429362563,-1.0428999924557871,-0.7417002733567558,-2.584222807125527
14128,Joey Gallo,-0.2327531783585557,0.8273373186117667,-0.15815278839389466,-0.29841543147788047,2.4229163484463543,-2.3488679776410786,-0.4556037867426852,-5.089372192448682
14162,Carlos Correa,-3.831764731034119e-4,-0.15142672864794376,-0.025800141413891347,-0.9367923197933383,-0.0455978410054551,0.5975680218168471,0.24838220237803535,-0.2228543011279392
14221,Jorge Soler,-0.4319448691126191,0.35975647225938767,-0.34688332172518427,-0.9675828977136214,0.5698159545702758,-1.625087319213626,-0.5790077257582031,-4.160565615834142
14274,Mitch Haniger,1.801572016657962,1.5017489613553194,1.151107904045512,-0.8555469832415178,1.400758696832331,-0.45566231756253417,0.08897194832483453,1.8314328327472447
14344,Matt Olson,0.5267599362956061,1.3759620208918433,1.573857872527055,-0.6987820938830884,1.065073012123732,-0.7212109607692008,0.44290577449736385,1.4344195374358468
14350,Raimel Tapia,-0.6845716806540876,-1.7451909025502292,-1.323360436972432,1.2834970293538508,-1.186510993912665,0.961583954324479,-0.6975617753933407,-1.019092817979095
14503,Renato Nunez,-0.22773996817453376,0.71470130286358,0.22672601112614824,-0.8332374917594317,1.0599929953634988,-0.13550745982350365,0.18850965616784587,-1.1265409449633939
14551,Anthony Santander,0.21337956970823022,1.3410541638278197,0.8778504424183837,-1.009556569906962,0.09512681840548298,-0.6461491503072414,0.14512026849305365,0.8265719058278007
14566,Franmil Reyes,-0.49390519846905045,0.014786923507522174,0.5541337424472976,-0.8332374917594317,1.4036436924904776,0.3715648378239493,-0.0011447954828002634,-1.791445674422991
14811,Luke Voit,0.0948035774281194,1.6236554327862183,1.1866932894693956,-0.8647293477209754,1.1062974825107665,-0.3580770895572991,0.38579852390385794,0.9618469037985502
14813,Kyle Farmer,-1.1492401338194702,-0.6588423658440301,-0.1906191809697729,-0.649863086889302,-0.7119972193151466,-0.09085197879877938,-0.7511178498154136,-2.778537376821621
