playerid,#,Season,Name,Team,z_w,z_era,z_saves,z_hr,z_k,z_whip,z_hold,z_pit_avg
6902,34,2020,Martin Perez,BOS,-0.9430946695711275,0.9291320952206703,NA,-0.12392255023637838,-1.3117015729652135,0.9922752740577347,NA,-4.052281061578368
9323,35,2020,Patrick Corbin,WSN,-1.561517403716129,1.073428271134582,NA,0.5842063082572131,-0.6067563897977282,2.176313214567613,NA,-6.002221587473265
19479,36,2020,Aaron Civale,CLE,-0.32467193542612605,1.1455763590915375,NA,0.9382707375040088,-0.15357734347577343,0.8893154531438322,NA,-3.451411828641278
4930,37,2020,Jon Lester,CHC,-0.9430946695711275,1.524353820865555,NA,0.9382707375040088,-1.5131144824416378,0.9407953636007834,NA,-5.859629073983113
10123,38,2020,Kyle Gibson,TEX,-1.561517403716129,1.6957055297633243,NA,1.2923351667508045,-0.7074628445359403,1.9703935727398076,NA,-7.227414517506006
6893,39,2020,Johnny Cueto,SFG,-1.561517403716129,1.7407980847364224,NA,0.23014187901041736,-0.8081692992741526,1.1467150054285886,NA,-5.48734167216571
15440,40,2020,Matthew Boyd,DET,-0.9430946695711275,2.9222230250315717,NA,2.3545284544911915,-0.6067563897977282,1.7129940204550513,NA,-8.53959655934667
19361,1,2021,Corbin Burnes,MIL,-0.3819373667377493,-1.46949076468443,NA,-2.381126051516288,1.227027459375727,-1.4885392328701972,-0.16012815380508713,6.184246141708893
3137,2,2021,Max Scherzer,- - -,1.071287735971736,-1.432831826631535,NA,0.15874173676775255,1.2759329994019442,-2.0260672891844345,-0.16012815380508713,5.6473781144218975
19374,3,2021,Walker Buehler,LAD,1.4345940116491076,-1.4206121806139032,NA,-0.4762252103032577,0.6890665190873398,-1.286966211752358,-0.16012815380508713,5.307464133405967
16162,4,2021,Brandon Woodruff,MIL,-1.108549918092492,-1.3106353664552177,NA,-0.6349669470710102,0.6646137490742313,-1.3541572187916375,-0.16012815380508713,2.8558233632996046
10310,5,2021,Zack Wheeler,PHI,0.7079814602943648,-1.04180315406732,NA,-0.9524504206065154,1.5449134695461377,-1.0182021835952388,-0.16012815380508713,5.265350688109577
14107,6,2021,Kevin Gausman,SFG,0.7079814602943648,-1.0051442160144246,NA,-0.3174834735355051,1.0558580692839676,-0.8166291624773997,-0.16012815380508713,3.903096381605662
11486,7,2021,Robbie Ray,TOR,0.3446751846169934,-0.9684852779615297,NA,1.7461591044452782,1.5693662395592463,-0.8166291624773997,-0.16012815380508713,1.9529967601698912
14765,8,2021,Julio Urias,LAD,2.8878191143585927,-0.8218495257499489,NA,-0.4762252103032577,0.2733694288644952,-0.9510111765559591,-0.16012815380508713,5.410274455832254
13431,9,2021,Marcus Stroman,NYM,-0.7452436424151206,-0.7485316496441585,NA,-0.7937086838387628,-0.6313830616205197,-0.07752808504532394,-0.16012815380508713,0.2431417144926049
13743,10,2021,Max Fried,ATL,0.7079814602943648,-0.724092357608895,NA,-1.111192157374268,-0.6313830616205197,-0.4806741272810009,-0.16012815380508713,2.392557040938009
2233,11,2021,Adam Wainwright,STL,1.7979002873264789,-0.7118727115912635,NA,-0.15874173676775255,-0.2401387414107835,-0.6822471483988402,-0.16012815380508713,3.1106231426735516
14120,12,2021,Lance McCullers Jr.,HOU,0.3446751846169934,-0.5774566053973142,NA,-1.428675630909773,0.028841728733410107,0.3928089642296343,-0.16012815380508713,1.9868401854278561
